Accession	Description	Sum PEP Score	# Unique Peptides	temp37.0_concYOU	temp40.6_concYOU	temp43.7_concYOU	temp47.5_concYOU	temp51.2_concYOU	temp54.5_concYOU	temp57.9_concYOU	temp61.5_concYOU	temp64.0_concYOU	temp67.0_concYOU	temp67.0_concSEN	temp64.0_concSEN	temp61.5_concSEN	temp57.9_concSEN	temp54.5_concSEN	temp51.2_concSEN	temp47.5_concSEN	temp43.7_concSEN	temp40.6_concSEN	 temp37.0_concSEN
O15020	Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3	84	6	172	178.7	183.8	149.1	101.5	77.9	51.6	40.9	28.6	15.8	7.8	8.9	13.7	27.2	54.8	82.9	160.5	198.1	219.9	226.2
P29218	Inositol monophosphatase 1 OS=Homo sapiens OX=9606 GN=IMPA1 PE=1 SV=1	83.923	11	137.9	134.6	143.5	134.9	139.2	103	68.5	59.1	46.5	32.8	38.7	42.5	39.5	68.6	117.7	122.5	135.1	137.6	149.3	148.4
Q02750	Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens OX=9606 GN=MAP2K1 PE=1 SV=2	83.922	7	173.6	178.6	187.6	176.2	127	75.3	33.4	23.2	14.5	10.7	7.3	8.7	14.8	17.8	42.2	107.5	183.4	173.9	225.9	218.5
P40818	Ubiquitin carboxyl-terminal hydrolase 8 OS=Homo sapiens OX=9606 GN=USP8 PE=1 SV=1	83.881	17	236.8	227.2	228.7	160.2	66.2	33.6	17.9	12.7	9.1	7.7	10.7	14.5	15.7	28.4	40.4	52.9	137.1	223	229.3	248.1
Q9NVS9	Pyridoxine-5'-phosphate oxidase OS=Homo sapiens OX=9606 GN=PNPO PE=1 SV=1	83.833	10	177.8	173	189.6	169.7	124	74.7	36.2	25.9	17	12.1	9.2	11	15.3	27.9	73.5	121.5	168.8	186.6	192.4	193.8
Q9UBW8	COP9 signalosome complex subunit 7a OS=Homo sapiens OX=9606 GN=COPS7A PE=1 SV=1	83.797	11	158.4	168.5	179	163.1	156.5	111.5	30.8	17.1	8.7	6.4	4.1	4.7	7	20	111.8	135.1	167.9	163.1	191	195.3
P20339	Ras-related protein Rab-5A OS=Homo sapiens OX=9606 GN=RAB5A PE=1 SV=2	83.788	6	178.4	168	169.5	163.8	141.2	93.9	41.2	24.6	12.4	7.1	5.2	7.3	10.1	33.5	96.1	116.4	166.6	180.9	192.7	191.2
Q14554	Protein disulfide-isomerase A5 OS=Homo sapiens OX=9606 GN=PDIA5 PE=1 SV=1	83.786	15	197.4	186.6	190.7	172.8	118.9	67.3	29.1	18.3	11.2	7.7	8.2	9.7	17.2	31.3	80	110.4	169.1	192.8	185.9	195.5
P46777	60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3	83.703	10	153.8	164.6	165.9	244.3	107	105.9	24.9	18.1	9.9	5.7	11.3	16.6	24.3	41.8	103.6	146.3	160.8	159.9	166.8	168.5
Q96FQ6	Protein S100-A16 OS=Homo sapiens OX=9606 GN=S100A16 PE=1 SV=1	83.591	8	147.5	142.3	149.9	142.6	127.3	112.8	79.9	52	29	16.6	19	27.9	20.9	81.9	114.8	132.2	139	150.1	155	159.2
O43488	Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens OX=9606 GN=AKR7A2 PE=1 SV=3	83.52	10	203.8	198.3	206.6	189.7	132	35.2	15.1	8.8	6	4.6	3.2	3.5	6	10.1	31.5	128.7	187.6	238.1	173.2	218.2
P51649	Succinate-semialdehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH5A1 PE=1 SV=2	83.5	16	155.3	153.3	166.7	155.2	139.5	122.2	66	21.7	11.5	8.6	6.3	7.5	16.3	81.7	131	148.2	138	150	161.2	159.8
P06396	Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1	83.455	15	171.8	179.3	187.2	178.1	141.6	73.4	29.2	18.2	11.6	9.6	4	4.2	5.6	13.7	62.8	164.1	172.5	202.5	162.7	208
Q13451	Peptidyl-prolyl cis-trans isomerase FKBP5 OS=Homo sapiens OX=9606 GN=FKBP5 PE=1 SV=2	83.387	15	221.4	215.3	210.8	130.7	79.5	51.5	32.6	23.7	19.4	15.1	7	9.3	8.6	24.8	52.4	69.4	124.2	218.6	233.9	251.8
P23229	Integrin alpha-6 OS=Homo sapiens OX=9606 GN=ITGA6 PE=1 SV=5	83.348	14	159.5	157.4	161.4	139.8	108.7	80.8	62.8	52.2	42.3	35.2	27.1	28.9	25.9	56.1	96.2	111.3	145	162.8	166.8	180
Q71RC2	La-related protein 4 OS=Homo sapiens OX=9606 GN=LARP4 PE=1 SV=3	83.133	13	158.9	147.3	148.3	112.4	83.4	73.1	73.8	74.8	68.8	59.2	21.1	20.7	21.1	31.5	55.5	74.4	128.8	198.5	215	233.3
P10909	Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1	83.056	10	175.8	199.5	131.8	149.3	110.2	91.5	51.6	39.8	29.2	21.3	19.8	21.1	21.9	54.4	103.6	111	148	166.2	172.9	181.1
Q9UKX7	Nuclear pore complex protein Nup50 OS=Homo sapiens OX=9606 GN=NUP50 PE=1 SV=2	83.025	14	144.8	155	147.5	142.9	133.4	106.3	63	47.7	33.5	25.9	20	24.1	15.3	50.7	104.8	127.2	152.5	168	165.1	172.3
P49585	Choline-phosphate cytidylyltransferase A OS=Homo sapiens OX=9606 GN=PCYT1A PE=1 SV=2	82.989	14	177.5	195.3	139.6	166.7	125.3	94.2	42.9	29.9	17.5	11.2	11.7	17.1	15.2	48.7	92.7	120.8	153.6	177.3	176.5	186.5
Q16718	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Homo sapiens OX=9606 GN=NDUFA5 PE=1 SV=3	82.919	10	168.5	167.5	174.7	146.6	118	76.1	56.1	41.8	30.4	20.4	14.2	19.1	18.9	38.8	74.8	119.4	159.4	181.6	179.9	193.9
Q9UKM9	RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1	82.908	12	235.8	234.3	205.1	142.8	64	37.7	25.3	20.7	18.4	15.9	12.5	10.7	7.1	15.7	30.5	52.2	134.8	247.3	216.1	273.1
Q9GZT8	NIF3-like protein 1 OS=Homo sapiens OX=9606 GN=NIF3L1 PE=1 SV=2	82.886	11	152	152.9	159.7	144.7	130	102.4	56	46.6	33.1	22.7	16.9	21.7	23.2	58.5	119	125.3	158.4	152.9	160.8	163.4
Q8N6T3	ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=2	82.804	13	205.5	193.7	182.8	157.2	102.3	69.3	38.1	24.1	16.4	10.5	10.8	14.3	14.8	36.4	80.5	99.1	148.6	200.1	192.4	202.9
Q16539	Mitogen-activated protein kinase 14 OS=Homo sapiens OX=9606 GN=MAPK14 PE=1 SV=3	82.786	15	269.5	303.6	163.9	136.1	52.6	31.4	16.9	11.9	8.3	5.9	11	10.7	15.8	21.3	44.1	64.9	145.3	203.6	233.1	250.3
P39656	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4	82.642	11	179.6	207.9	162.8	187.5	141.2	67.5	24	14.6	9	5.9	3.4	4.7	6.5	18.2	70.6	129.3	188.2	180.8	196.9	201.3
O00505	Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2	82.61	5	181.1	181.5	198.9	160.4	131.4	64.3	34.1	20.6	14.5	13.1	16.1	15	17.2	32.1	70.8	102.6	152.6	174	207	212.6
Q96RU3	Formin-binding protein 1 OS=Homo sapiens OX=9606 GN=FNBP1 PE=1 SV=2	82.53	16	205.3	201.5	194.7	151.4	83.8	60.5	34.1	27.8	22	18.9	18	18.1	17.7	32.6	57.4	73.1	141.3	205.5	214.7	221.6
Q96KB5	Lymphokine-activated killer T-cell-originated protein kinase OS=Homo sapiens OX=9606 GN=PBK PE=1 SV=3	82.49	12	240.3	230.2	220.4	139	76	41.2	20.8	14.4	10	7.6	4.8	5	5.9	14	32.6	58.1	124.1	220.7	258.3	276.6
P62805	Histone H4 OS=Homo sapiens OX=9606 GN=H4C16 PE=1 SV=2	82.368	8	176.9	170.9	196	162.9	114.2	101.5	36.7	22.4	12.6	5.9	6.2	6.3	10.7	29.1	90.3	94	143.8	198	198.6	223
P48735	Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens OX=9606 GN=IDH2 PE=1 SV=2	82.352	14	244	231.2	236.8	156.1	82	22.9	11	7	5.2	3.7	3.4	4.1	5.5	10.5	25.4	93	178.1	212.5	229.3	238.2
P61970	Nuclear transport factor 2 OS=Homo sapiens OX=9606 GN=NUTF2 PE=1 SV=1	82.212	5	152.1	152	161.5	158.6	125.9	115.6	56.3	42.7	22.8	12.5	10	17.1	18.7	60.2	105.7	127.6	155.8	175.2	158.6	171.1
P17612	cAMP-dependent protein kinase catalytic subunit alpha OS=Homo sapiens OX=9606 GN=PRKACA PE=1 SV=2	82.167	8	187.6	190	199.5	168.3	123.2	69.5	25.4	15.9	12.2	8.5	2	2.2	3.5	19.6	87.1	135.4	161.1	192.7	192.9	203.5
P30405	Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens OX=9606 GN=PPIF PE=1 SV=1	82.147	10	192.8	170.9	179.9	170.3	146.2	65.6	31.2	18.9	14.3	9.9	10.8	12	10.2	24.9	64	153.6	158.3	217.5	154.6	194
Q96M27	Protein PRRC1 OS=Homo sapiens OX=9606 GN=PRRC1 PE=1 SV=1	82.144	8	146.9	138.5	153.2	140.7	133	102.3	69	56.7	40.8	18.9	11.4	28.5	21.7	70.4	130.5	133.7	148	148.5	151.1	156.1
Q92597	Protein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1 PE=1 SV=1	82.123	10	176.7	171	180.2	169.5	146.3	79.8	34.1	19.9	12.9	9.6	8.2	9.7	12	27.3	77.9	129.9	171.3	181.1	189.1	193.4
P19784	Casein kinase II subunit alpha' OS=Homo sapiens OX=9606 GN=CSNK2A2 PE=1 SV=1	82.098	13	212.3	213.8	223.8	178	93.3	35.7	18	11	7.6	6.4	3.9	4	5.2	11	29	72.6	166	224.8	231.3	252.3
P61247	40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2	82.081	13	133.6	148.9	160.2	135.9	101.3	100.8	74.7	76.4	46.7	21.4	30.7	79.1	81.1	130.8	109.7	81.2	103	127.1	123.8	133.5
Q9H0W9	Ester hydrolase C11orf54 OS=Homo sapiens OX=9606 GN=C11orf54 PE=1 SV=1	82.023	10	160.9	151.5	162.2	154.3	136.6	110.9	62.7	33.7	16.7	10.4	9.7	14.5	22.8	62.2	113.7	137.2	147.3	165.6	160.4	166.5
P35749	Myosin-11 OS=Homo sapiens OX=9606 GN=MYH11 PE=1 SV=3	81.872	1											13.5	13.2	16.9	46.1	138.2	281.9	384.1	450.2	300.7	355.1
O14964	Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens OX=9606 GN=HGS PE=1 SV=1	81.871	15	177	172	178.9	173.7	133.8	74.9	37.5	24.4	15.9	11.8	10.8	14.6	18.8	33.5	70.7	123.6	173.2	185.4	181.8	187.6
P42229	Signal transducer and activator of transcription 5A OS=Homo sapiens OX=9606 GN=STAT5A PE=1 SV=1	81.825	5	210.5	204.1	209	154.7	103.9	52.9	26.3	16.4	13.6	8.6	5.1	5.3	8.4	17.4	35.7	58.4	138.7	203.4	251.8	275.8
Q9H773	dCTP pyrophosphatase 1 OS=Homo sapiens OX=9606 GN=DCTPP1 PE=1 SV=1	81.801	10	144	143.8	144.1	141	126.9	104.3	60.4	55.3	45.2	35.1	39.6	42.3	33.2	71	117.7	119.2	141.2	146.6	139.5	149.8
Q8N1G2	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 OS=Homo sapiens OX=9606 GN=CMTR1 PE=1 SV=1	81.792	15	271	315.5	147.6	170.7	42	22.4	10.7	8.1	6.5	5.4	7.3	8.2	9.3	15.9	30.4	46.1	150.9	265.8	200.8	265.5
O43795	Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3	81.786	15	231	318.5	121.5	142.9	81.3	38.5	22.1	18.6	13	12.7	7.1	7.3	8.1	18.6	39.8	63.5	138	208.5	254.9	254.3
Q14738	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform OS=Homo sapiens OX=9606 GN=PPP2R5D PE=1 SV=1	81.762	13	221.2	215.3	214.3	168.9	81.8	37	21.1	17.5	13.1	9.7	20.3	25.3	31.4	42.1	55.3	88.2	148.1	227.8	137	224.5
Q969V3	Nicalin OS=Homo sapiens OX=9606 GN=NCLN PE=1 SV=2	81.741	13	183.6	184.7	194.1	177.2	131.8	61.9	30.4	17.8	10.4	8.2	7.6	9.1	12.4	28.1	65.7	118.2	171.6	191.1	192.1	204.3
Q9BTT0	Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1	81.716	6	189.2	182.9	187	150.5	110.3	78.1	43	31.1	19.7	8.2	5.2	13.1	14.3	41.4	75.6	100.7	140	189.3	206.7	213.6
P57721	Poly(rC)-binding protein 3 OS=Homo sapiens OX=9606 GN=PCBP3 PE=1 SV=2	81.703	1	204.1	203.8	209.2	168.5	107.5	55.5	21.7	14.2	9.2	6.4	5.9	7	6.5	21.1	61.1	91.2	165.3	201.8	212.5	227.5
Q00577	Transcriptional activator protein Pur-alpha OS=Homo sapiens OX=9606 GN=PURA PE=1 SV=2	81.652	10	145	138	143.5	136.8	124.6	113.8	83.2	62.8	37.2	15	10.5	25.4	22.1	74	125.4	137	145.7	163.2	139.3	157.4
O15382	Branched-chain-amino-acid aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=BCAT2 PE=1 SV=2	81.638	13	173.4	171.6	176.1	161.2	151	92	36.3	21.8	10.8	5.8	8	14	16.5	49.4	111.4	125.4	152.7	167.6	169.1	185.9
P49407	Beta-arrestin-1 OS=Homo sapiens OX=9606 GN=ARRB1 PE=1 SV=2	81.613	11	174.6	165.7	176	165.3	148.7	102.3	32.8	16.8	10.2	7.7	5.8	6.6	8.7	31	113.1	142.1	165.1	174.9	174.7	177.9
P18859	ATP synthase-coupling factor 6, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PF PE=1 SV=1	81.584	7	102.7	107.5	112.4	103.4	102.2	100.9	94.5	92.7	94.9	89	71.6	51.9	16.2	70	137.4	107.1	139.5	130.8	139.5	135.9
Q15785	Mitochondrial import receptor subunit TOM34 OS=Homo sapiens OX=9606 GN=TOMM34 PE=1 SV=2	81.501	12	283.9	259	232.9	100.2	53.5	28.7	15.7	11.2	8.6	6.3	6.1	7	7.6	14.1	28.8	44.1	96.4	236.9	267.2	291.7
P10321	HLA class I histocompatibility antigen, C alpha chain OS=Homo sapiens OX=9606 GN=HLA-C PE=1 SV=3	81.486	4	159.3	155.5	149.4	135.7	111.4	99.9	67.7	59.7	37.7	23.8	23	33.9	29.7	69.6	93.3	106.4	134.5	164.4	170.1	175.2
Q9H3P7	Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4	81.46	10	198.8	197.8	204.4	169.7	104.2	58	26.5	18.4	13.4	8.8	5.9	6.8	7.3	20.2	50.6	87.2	158.6	214.3	221.7	227.3
P14678	Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens OX=9606 GN=SNRPB PE=1 SV=2	81.428	6	110.8	108.7	114.9	103.1	102.1	111.6	111	109.1	83.1	45.6	41.1	64.7	15.5	99.2	121.6	115.5	127.4	135	136.7	143.3
P29317	Ephrin type-A receptor 2 OS=Homo sapiens OX=9606 GN=EPHA2 PE=1 SV=2	81.393	16	207.9	194.9	199	143	76.6	59.2	40.2	34.8	24.3	20.3	11.4	15.2	15.7	36	50	59.9	132.7	213.5	224.1	241.5
O14737	Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3	81.372	9	127.8	120.9	123.9	124.9	116.6	98	78.2	74.2	71	64.4	68.4	57.7	22.9	67.5	112.2	117.8	135.2	140	138.2	140.2
O60566	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta OS=Homo sapiens OX=9606 GN=BUB1B PE=1 SV=3	81.345	17	201.9	200.9	184.6	151	106.4	70	32.4	20.5	16.5	15.7	15.8	15.6	16.9	30.7	60.8	86.9	139.1	196.7	212.1	225.4
Q9UII2	ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1	81.256	8	131.7	121.3	131	125.8	107.5	113	80.4	74.3	62.3	52.8	97.4	84	21.8	93.4	113.2	129.4	92.5	125.3	121.4	121.6
P49247	Ribose-5-phosphate isomerase OS=Homo sapiens OX=9606 GN=RPIA PE=1 SV=3	81.211	9	146.5	143.1	158.5	146.6	119.3	109.6	69.5	51.1	33.6	22.1	15.3	22.1	24.7	70.9	110.9	122.6	143.6	168	153.8	168.1
Q13242	Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1	81.198	13	140.8	139.3	117.8	120.8	90.9	86.4	70	82.3	77.2	74.4	91.1	82.8	29	86.8	99	103.9	119.3	130.3	128.1	129.8
P09601	Heme oxygenase 1 OS=Homo sapiens OX=9606 GN=HMOX1 PE=1 SV=1	81.157	13	176.8	176	181.7	172.4	140	86.1	28.5	18.1	11.9	8.6	6.7	8.7	8.4	28.9	89.1	141	168.1	184.5	178.9	185.5
P52943	Cysteine-rich protein 2 OS=Homo sapiens OX=9606 GN=CRIP2 PE=1 SV=1	81.141	10	120.5	113.9	118.8	122.2	109	103.6	85.3	83.4	75	68.4	87.6	77.6	17.1	92.3	115.1	123.3	116.1	126.8	119.7	124.5
Q9NVM4	Protein arginine N-methyltransferase 7 OS=Homo sapiens OX=9606 GN=PRMT7 PE=1 SV=1	81.12	13	195	193.4	196	163.4	101.9	56.1	33.5	26.7	18.7	15.2	8.8	10.4	12	23.5	54.3	86.6	160.1	204.3	212.8	227.2
Q9Y4G6	Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=4	81.066	2											15.8	16.8	29.5	38.9	166.8	197.4	334.2	378.4	415.8	406.3
Q9UJW0	Dynactin subunit 4 OS=Homo sapiens OX=9606 GN=DCTN4 PE=1 SV=1	80.94	14	137.8	144.1	159.5	144.9	130.6	113.8	68.4	55.3	33.9	11.8	11.1	23.2	28.5	64.4	112.1	124.1	151.8	157.6	164.6	162.7
Q02539	Histone H1.1 OS=Homo sapiens OX=9606 GN=H1-1 PE=1 SV=3	80.921	5	244.7	250.8	267.8	283.3	245.9	268.1	165.1	128.4	83.4	62.5										
Q86TU7	Actin-histidine N-methyltransferase OS=Homo sapiens OX=9606 GN=SETD3 PE=1 SV=1	80.897	13	210.4	203.7	202.6	189.9	110.8	37.2	16.2	12.2	9.2	7.7	9.7	10.4	9.9	15.7	36	98.5	188.9	201.4	210.9	218.6
P49590	Histidine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=HARS2 PE=1 SV=1	80.791	10	267.1	245.7	196.4	126.9	72.9	40.2	20.1	14.6	10	6.2	8.7	10	10.8	25.2	46.5	67	124.9	204.1	241.1	261.8
O75496	Geminin OS=Homo sapiens OX=9606 GN=GMNN PE=1 SV=1	80.709	10	127.1	128.1	130.6	135.6	113.4	115.1	65.4	68.2	61.9	54.4	34	32.1	34.4	63.1	120.8	130.3	145.6	148.3	141.2	150.2
P68402	Platelet-activating factor acetylhydrolase IB subunit alpha2 OS=Homo sapiens OX=9606 GN=PAFAH1B2 PE=1 SV=1	80.703	7	206.4	230.2	112.7	174.6	109.6	83.1	36.3	24.5	14.7	7.9	10.2	13.1	18.4	41.8	84.2	111	158.2	186.3	185.8	191
P62633	CCHC-type zinc finger nucleic acid binding protein OS=Homo sapiens OX=9606 GN=CNBP PE=1 SV=1	80.695	9	118.2	104.8	106.7	104	108.9	89.9	101	92.4	92	82.1	109.4	108.3	11.4	105.5	98.1	118.6	107.2	115.2	116.5	109.7
O43395	U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2	80.641	13	172	185.9	209.7	153.5	93.1	66.6	43.3	33.8	25.6	16.6	18.1	24.9	18.8	45.8	69.4	92.6	144.1	205.2	181	200.2
O14562	Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens OX=9606 GN=UBFD1 PE=1 SV=2	80.613	11	163.4	155.2	157.9	159.6	132.6	92.5	64.1	37.2	22.1	15.5	8	9.5	11.5	36.3	84.8	118.9	168.1	184.3	186.9	191.7
P62750	60S ribosomal protein L23a OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1	80.586	12	102.5	107.1	125.4	163.5	118.1	137.2	88.6	83.8	46.5	27.3	20.8	39.2	52.4	78.2	125.1	122.5	125.9	166.2	128.3	141.4
Q9HA77	Probable cysteine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=CARS2 PE=1 SV=1	80.581	14	199.4	194.3	160.3	173.2	124.6	80.2	34.3	20	8.6	5.1	5.8	8.3	15	39.2	93.4	123.9	166.1	172.1	183.8	192.4
Q8NCW5	NAD(P)H-hydrate epimerase OS=Homo sapiens OX=9606 GN=NAXE PE=1 SV=2	80.509	10	147.6	143.4	157.6	152.1	133.1	111.8	64.6	51.4	28.5	9.8	7.5	22.8	30.2	67.6	120	129.3	148.5	152.4	156.6	164.9
Q9BV86	N-terminal Xaa-Pro-Lys N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=NTMT1 PE=1 SV=3	80.406	9	256.1	233	227.9	136.4	61.9	33.4	19.2	13.1	10.5	8.3	2.9	3.9	4.7	11.4	25.8	42.6	129.2	225.4	274.2	279.8
O15118	NPC intracellular cholesterol transporter 1 OS=Homo sapiens OX=9606 GN=NPC1 PE=1 SV=2	80.387	12	171.8	164.1	135	159.9	130.7	92.9	50.8	41.5	31.1	22.3	12.8	17.7	22.7	48.9	103.5	120.6	155.7	163.9	177.3	176.9
Q9Y608	Leucine-rich repeat flightless-interacting protein 2 OS=Homo sapiens OX=9606 GN=LRRFIP2 PE=1 SV=1	80.354	10	117.8	121.5	126.4	98.1	110.3	109.6	81.9	83.5	77.5	73.4	73.5	62.6	42	82.1	119	115.9	106.7	127.4	134.5	136.4
Q6P996	Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PDXDC1 PE=1 SV=2	80.343	12	259.1	247.8	196.3	98.4	66.2	47	28.8	23.1	18.2	15.2	11.8	12.9	14.4	25.9	44	58.1	100.2	182.7	262.9	287.1
Q14919	Dr1-associated corepressor OS=Homo sapiens OX=9606 GN=DRAP1 PE=1 SV=3	80.326	11	152.2	144.8	149.2	143.6	126.3	108.6	76.2	48.7	31.7	18.5	17.4	23.3	29.4	79.9	114.3	149.2	105.3	162.7	151.8	166.8
P46108	Adapter molecule crk OS=Homo sapiens OX=9606 GN=CRK PE=1 SV=2	80.236	11	164.3	166.5	171.2	164.1	124.6	101.5	46.2	29.7	18.7	13.2	9.8	13.4	16.9	36.7	94.6	116.6	164	187.2	175.2	185.6
Q92733	Proline-rich protein PRCC OS=Homo sapiens OX=9606 GN=PRCC PE=1 SV=1	80.099	11	142.8	135.5	141.4	135	122.3	92	62.9	60.2	56.5	51.2	55	47.4	40.5	59.4	106	111.1	139.7	145.4	146.7	148.7
Q12802	A-kinase anchor protein 13 OS=Homo sapiens OX=9606 GN=AKAP13 PE=1 SV=2	80.093	15	182.8	177.4	164.7	125.2	103.9	79.1	53.6	44.5	37.1	31.6	34.7	35.9	27.4	59	89.9	103.2	133.2	159.8	174.9	182
Q02252	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Homo sapiens OX=9606 GN=ALDH6A1 PE=1 SV=2	80.05	15	228.9	218.7	212.4	158.4	95.1	39.6	20.4	13.4	7.6	5.5	9	10.4	8.8	21.7	40.2	81.7	156.3	225	214.4	232.6
O75347	Tubulin-specific chaperone A OS=Homo sapiens OX=9606 GN=TBCA PE=1 SV=3	80.05	12	114.7	110.6	118.1	116.2	106.8	104.6	88.7	84.9	80.4	74.8	77.1	69.7	44.5	88.3	114.1	117.6	120.2	129	115.5	124
Q8WVV9	Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens OX=9606 GN=HNRNPLL PE=1 SV=1	79.998	16	254.4	250.4	168.1	157.3	79	39.1	18.1	13.8	10.7	9.1	4.7	5.4	7	13	32.5	71.8	145.7	267.8	184.2	267.8
Q9NYB0	Telomeric repeat-binding factor 2-interacting protein 1 OS=Homo sapiens OX=9606 GN=TERF2IP PE=1 SV=1	79.947	10	151.7	144	154.9	138.3	115.4	85.3	63.4	54.2	49.2	43.6	34.9	31	25.5	47.1	87.8	108.6	140.8	168.5	172.2	183.7
Q9NVT9	Armadillo repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=ARMC1 PE=1 SV=1	79.939	8	200.9	195.8	196.9	183.2	115.5	53	24.3	13.6	9.6	7.2	8.1	9	11.9	24.2	56.3	104.7	173.8	180	216.3	215.8
Q9UBV8	Peflin OS=Homo sapiens OX=9606 GN=PEF1 PE=1 SV=1	79.936	8	171.6	170.2	168.4	164.3	161.5	99.8	35	16.1	7.4	5.7	4.8	5.4	6.8	38.3	120.6	143.1	167.7	158.7	173.9	180.6
Q15369	Elongin-C OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1	79.8	7	162	155.5	170.4	161.1	144.7	99.1	51.3	27	17.1	11.7	12.3	17.1	14.5	39.9	85	133.7	161.5	180.9	175	180.2
O43148	mRNA cap guanine-N7 methyltransferase OS=Homo sapiens OX=9606 GN=RNMT PE=1 SV=1	79.764	14	175	172.9	185.2	169.5	140	97.2	32.1	14.1	7.5	6.6	5.4	6.6	9.4	35.4	104.3	141.9	160.5	182.2	170.9	183.5
Q9Y3Z3	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Homo sapiens OX=9606 GN=SAMHD1 PE=1 SV=2	79.756	14	235.7	205.4	180.9	136.8	110.4	61	32.5	17.3	11.7	8.5	6.6	8.8	12.5	36	88.1	113.3	143.8	176.4	195.2	219.4
P63313	Thymosin beta-10 OS=Homo sapiens OX=9606 GN=TMSB10 PE=1 SV=2	79.598	7	149	133.1	132.5	139.8	119.7	93.3	57.7	62.5	57.9	54.6	66.6	50	41.3	64.6	109.2	117.9	138	141.1	136	135.3
P35244	Replication protein A 14 kDa subunit OS=Homo sapiens OX=9606 GN=RPA3 PE=1 SV=1	79.533	8	184.5	206.6	147.5	171.2	120	97	44.9	17.5	7	3.7	5.2	7.3	11.5	35.1	87.7	120.2	163.7	192.2	186.3	190.7
P42566	Epidermal growth factor receptor substrate 15 OS=Homo sapiens OX=9606 GN=EPS15 PE=1 SV=2	79.454	16	154.5	150.9	169.6	161.7	149.7	106.3	50.6	31.3	16.9	8.6	6.4	10.7	15.9	45.6	103.9	135.8	152.1	172.5	175.8	181.2
Q14694	Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens OX=9606 GN=USP10 PE=1 SV=2	79.432	13	286.5	257.4	200.2	107.3	57.4	35.9	18.9	14.6	12.1	9.8	11.3	12.2	14.1	25	50.7	68	112.8	178.3	243.8	283.7
