Accession	Description	Sum.PEP.Score	X..Unique.Peptides	Y1L_1	Y1H_1	Y1L_2	Y1H_2	Y1L_3	Y1H_3	Y3L_1	Y3H_1	Y3L_2	Y3H_2	Y3L_3	Y3H_3	Y6L_1	Y6H_1	Y6L_2	Y6H_2	Y6L_3	Y6H_3	Y9L_1	Y9H_1	Y9L_2	Y9H_2	Y9L_3	Y9H_3	Y24L_1	Y24H_1	Y24L_2	Y24H_2	Y24L_3	Y24H_3	S1L_1	S1H_1	S1L_2	S1H_2	S1L_3	S1H_3	S3L_1	S3H_1	S3L_2	S3H_2	S3L_3	S3H_3	S6L_1	S6H_1	S6L_2	S6H_2	S6L_3	S6H_3	S9L_1	S9H_1	S9L_2	S9H_2	S9L_3	S9H_3	S24L_1	S24H_1	S24L_2	S24H_2	S24L_3	S24H_3
P40855	Peroxisomal biogenesis factor 19 OS=Homo sapiens OX=9606 GN=PEX19 PE=1 SV=1	77.235	9	7790552.094	NA	8138033.438	NA	11941980.63	770591.8125	6755449	793420.875	10180432.28	NA	6054235.625	NA	7892066.75	NA	6280768.875	NA	6290946.281	NA	10298880	1828771.594	5852658.188	422305.4688	4520976.75	1246613.125	1421943.469	3155606.813	896212.75	2453025.5	3580837.25	3280858.125	10895849.06	9166772	13647820.31	5450493.25	15001067.25	4713279.438	13220248.69	5380168.125	14778236.16	3789639.309	13667285.5	3919442.75	13053019.34	3359148.773	9973806.281	4572912.273	10936372.81	4748563.695	7343160.219	4741188.578	8519926.719	4778177.328	7010154.844	2802796.672	10635948.28	3506627.531	3033292.656	3722019.844	3325900.141	3868005.547
P40925	Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4	261.175	20	383427310.4	6759968.586	458283178.4	6703115.102	518553609.9	7695209.188	402842144.1	28728066.52	395529526.5	28332761.69	368085102.4	28209589.63	439243623.1	75150595.73	375178482.2	64729167.84	394823928.7	67976575.14	390619831.2	108170017.1	309497952.5	83107730.59	356294191.5	105561604.8	239607698.9	260425945.8	239268757.8	261104039.8	263894204.9	289941783.9	460199874	13938396.08	559289506.7	14856758.69	499734419	15834145.84	557955534.3	44302887.63	547272114.4	40252599.63	540716294.6	32519562.11	494192190.1	71910023.25	497572180.4	82317581.36	459863041.9	80526514.94	418536312.5	107099793.6	410222485.5	100618704.9	420120152.1	102466745	264292821	199006606.8	268908118	209961112.1	311497402.1	240176721
P40926	Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3	390.394	32	429301383.4	11845694.13	409904254.1	12250034.53	421373392	15895006.38	307471759.3	34476284.97	315436124.5	38077916.94	312936989.5	31399465.19	288053194.6	68361833.88	282783521.4	64669405.5	259201777.1	59220919.88	294583932.6	97043836.41	245212219	79604659.22	259015910.5	86029344.75	139936292.8	167313042.5	162110059.1	191472997.3	157383470.4	188608362.3	516351920.3	6201593.438	590996821.8	4714605.719	495775525.3	12725483.59	443102808.4	13845115.69	400850140.8	16405790.13	392242273.3	11936543.19	370881569.1	39521639.69	425022609.9	41805320.84	369743390.8	37406719.53	315086176.7	52779470.69	326181346.8	46853653	346526262.1	51543956.03	222770167.7	105848673.5	198959874.9	100913328.5	231020066.9	116199338.8
P40937	Replication factor C subunit 5 OS=Homo sapiens OX=9606 GN=RFC5 PE=1 SV=1	98.394	15	32519377.25	1833428.281	37796534.13	1793189	43680777.69	1739702.188	29446897.56	1394548.125	28245428.75	2758501.844	30781116.22	2379383.672	33881370.31	4203346.938	27119438.53	6157735.281	26904962.81	5590005.188	24901005	8194911.703	22017516.31	6017034.078	26918517.31	8314549.75	16742325	18578651.75	15999522.69	18916935.38	14638727.53	24822397.56	36357550.31	5012793.688	44767915.31	2588367.5	36230908.25	3659493.063	37570869.63	1811085.563	32460610.25	1729836.969	34302568	1202902.031	34211670.75	2836920.313	31015832.31	11798078.25	30621848.75	5450281.125	33302011.75	6964204.5	32530900.56	11482297.38	33212314.88	5063840.266	18043474.08	11676158	16350096.69	14167695.03	22048607.55	9379016.656
P40938	Replication factor C subunit 3 OS=Homo sapiens OX=9606 GN=RFC3 PE=1 SV=2	168.761	15	57540310.19	NA	71585856.84	622678.1563	84352489.34	264194.4375	65067852	3279244.281	66550338.34	3732560.375	61826607.78	2679404.094	61866076.81	13802489.81	49070189.88	10911629.13	53244107.69	11586605.78	53470151.25	17847285.56	41298488.78	15431402.31	49187184.91	19751231.06	28274115.97	41404745.56	36083594.88	41320324.31	28879308.16	45384414	73212015.44	2108282.5	91075666.16	976397.2813	77159980.84	NA	84726435.69	3034158.313	75571480.03	3805226.938	70429527.69	2087897.281	69213636.03	10751768.03	67961730.38	8290312.625	60868037.97	7833054.906	57754491.23	12270007.69	54500090.56	12558253.94	63728378.88	13673609.5	25241565.36	23028044.81	29550696.78	20575302.06	29919615.06	24655551.75
P40939	Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2	603.551	49	226750218.2	15346741.25	251662489	14525036.31	284714973.4	18679616	218414963.4	23550820.94	223396571.8	25044218.97	197994300.7	24929044.5	215980927.2	45869131.94	184459548.5	34091425.17	203780070.1	40571730.06	195273587.9	64328448.94	172245902.5	63481826.5	184082113.2	64499111.66	120069267.2	171544451.1	115535603.9	172021396.6	121328650.5	189429812.6	274552128	28222755.59	352512602.6	18633695.22	302052992.7	30660589.23	326485981	28955705.44	311931410.4	35761476.03	307251377.3	18681999.66	291635018.6	53666553.03	282074161.3	42154607.47	276211911	53998189.05	278099309.3	69449031.31	270805052.6	65910689.13	278988187.9	70824768.66	167210832.1	144479706	184446780.9	138262099.8	197756663.3	151829728.2
P41091	Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3	337.647	6	109263728.1	2825490.813	122266826.6	2849942.5	159433732.5	4066796.813	113384125.5	10800410.16	117941429.5	9253158.875	102779105.8	9416338.656	130588887.4	24767698	92828768.47	20155968.16	102536242.9	22537130.44	106661353.7	37262676.56	80994215.5	28265208.94	102493803.4	33834644.94	63299246.44	70376808.63	62345719.63	74088071	72488287.5	80276826	396596081	15360955.86	515272130.1	16610781.81	426860278.6	14438643.8	504322852.9	34663677.56	451071711.4	32903138.56	432905697	26974601.75	414743842	54773870.13	399495671.1	45645521.03	378525849.1	48340974.98	403111918.5	70490027.25	383742916.1	68305801.41	434129686.8	80384815.97	219404904.8	121551271.5	229673570.4	123315076.4	259231688.3	148701466.7
P41134	DNA-binding protein inhibitor ID-1 OS=Homo sapiens OX=9606 GN=ID1 PE=1 SV=3	15.75	2	3970131.781	1684831.5	4133276.125	1216139.625	4478703.063	1575047.063	2768035.188	3391545.938	3515283.875	3479455.938	2444147.188	3284159.5	2236082.531	3817677.625	1935727.5	3186892.438	3354297.375	2432776.375	3447328	1659116.625	2044503.5	1683712.313	NA	3319854.875	1882668.844	2777857.469	NA	2159963.125	NA	2861044.25	488624.3125	570437.7813	630535.4375	376598.625	521465.4375	813110.2813	NA	1601931.875	NA	1525963.063	NA	1377149.594	197122.8906	1291863.813	NA	1656244	NA	1612692.875	NA	1259090	275487.2188	426398.4063	NA	1208504.781	NA	366868.6563	284175.9375	428026.0625	NA	525631.1875
P41208	Centrin-2 OS=Homo sapiens OX=9606 GN=CETN2 PE=1 SV=1	107.513	8	23220554.81	NA	23332974.91	NA	29317178.22	NA	16248926.31	663778.3125	16175386.72	791628.4688	16957423.5	557047.0625	15384567.53	3145779.344	13127467.72	3179605.406	13252175.69	2687321.375	13917996.19	7217088.094	10143764.94	5682863.719	12440673.44	6065231.219	5004247.375	17495981.69	5711513.156	18275462.25	5596362.688	19604375.56	21641989.75	NA	30334587	NA	25902231.91	213485.6406	23683114.69	632418.4844	21284169.88	546829.875	19115477.53	220228.5	15986188.16	1538978.938	15481646.72	2698167.188	14104271.97	2197145.781	10708556.97	3456402.656	10597731.44	4136836.188	13034431.34	3285409.25	5571694.875	8096895.625	2643918.375	8542242.75	4750506.438	10530972.31
P41214	Eukaryotic translation initiation factor 2D OS=Homo sapiens OX=9606 GN=EIF2D PE=1 SV=3	25.506	8	2712838.25	NA	5749632.875	NA	5561858.016	293935.5625	3951524.844	NA	4164622.469	NA	4208641.156	NA	6633525.313	283929.9688	4224652.969	236535.5938	6923715.313	NA	5272639.203	347636.25	3323302.813	266447.4375	3778269.906	431682.5938	1786200.094	1115290.688	1959678.625	1115909.625	1516548.688	780314.6875	3190178.656	NA	7523850.938	468339.625	7346346.609	NA	7014074.781	371716.3125	3715273.797	NA	3809456.594	NA	2543766.344	NA	4614217.469	417403.9063	4602612.75	NA	4901274.234	NA	3925486.438	372731.2813	4106084.438	NA	995148.1563	375425.125	1302407.656	356055.3438	1744925.313	369837.2813
P41223	Protein BUD31 homolog OS=Homo sapiens OX=9606 GN=BUD31 PE=1 SV=2	140.773	13	47667505.16	2576052.031	53235952.21	3967214.188	62787010.7	4495989.531	46312733.91	7642359.744	48239218.23	6514419.971	49483016.56	6981639.764	46737188.21	18080909.21	45352103.6	14043417.37	49025111.75	12841438.89	32679498.99	27141351.02	28641628.16	21070303.97	36520489.82	26734382.47	16412454.91	51919534.41	14683760.26	53699252.58	17062698.98	61751523.69	62802668.61	3875828.367	76151866.84	1801250.391	66695002.38	1494923.172	60163625.73	6206640.377	63518127.75	5836724.766	66529433.92	5887664.68	54265786.21	14099875.89	57483864.5	13851026.33	46904854.47	12173406.6	32323283.11	17073351.3	36357893.77	15767681.01	40532703.2	18972213.95	12798732.65	20573665.05	14439932.47	25542561.36	9616381.449	24779287.45
P41227	N-alpha-acetyltransferase 10 OS=Homo sapiens OX=9606 GN=NAA10 PE=1 SV=1	206.372	18	68016466.56	1436902.344	77886155.82	1754316.188	81701351.64	1090018.75	57229492.25	3536790.375	68573143.69	4424495.969	62755064.56	4439226.359	74503858.25	9140432.781	62189654.27	10586298.28	58581514.13	8690839.172	56839529.48	12561757.91	51853629.58	13030933.09	62107687.2	15616824.83	39315209.03	30934915.47	40339450.16	34071015.25	45339334.34	41924035.69	59995001.41	5968743.5	75296841.91	7057359.594	64836687.25	7113013.938	69007446.78	11697795.97	68529199.05	4919318.813	69001836.06	5398455.297	60300261.41	6185318.844	64389806.41	8977743.391	53379624.39	6396079.75	46184753.75	9593567.438	54526415.56	9227342.313	57127526.92	10815619.91	31501801.67	13179931.38	31831009.55	15511796.17	36271619.55	16108905.22
P41236	Protein phosphatase inhibitor 2 OS=Homo sapiens OX=9606 GN=PPP1R2 PE=1 SV=2	181.792	14	58734048.84	1803415.516	70877178.31	2155595.781	83475909.06	1987244.563	56923100.66	7443676.906	61900677.03	7614126.406	56068312.78	7336015.328	55785270.06	17787541.69	51603850.06	16362247.34	49579192.16	15928533.09	44340365.19	24779322.75	39416361.38	20728924.59	46290429.25	25434764.56	19717203.22	40729668.25	21454321.97	40552402.19	23364110.34	46747835.69	58536497.88	579899.0625	77913490.69	765820.0625	73340799.16	956352.4063	69901086.94	8204622.938	63006581.69	8433215.938	62993936.84	8727095.641	48932384.75	17831488.19	55190983.47	18878830.31	46657402.22	17538845.69	39588239.19	22695749.78	38488824	20227285.09	41241369.16	23389667.25	18196502.94	28800990.94	19917490.47	31128862.31	21034847.03	33716234.63
P41240	Tyrosine-protein kinase CSK OS=Homo sapiens OX=9606 GN=CSK PE=1 SV=1	105.719	16	28203479.78	9410500.5	31136042.81	9559965.938	43552496.06	14629616.44	27333056.97	6472111.75	26656331.19	9121649.297	23776804.81	8692664.25	27570949.53	13967478.69	23137846	11858665.94	22840617.59	12559426.34	22929375.53	16735369.34	20695757	13974582.66	21683244.63	16539192.41	11492976.06	20547836.56	12122185.88	22146231.88	12459027.75	23804656.38	27951445.44	7558033.5	34284178.06	8879230	31702229.47	8919085	32720372	8974878.469	33035102.88	8900647.047	27631153.13	6539392.5	26217857.5	14296272.17	25940573.38	14557297.25	24684909.63	12446593.38	26780410.69	20331987.47	23955591.28	18184073.94	24163807	15913490.84	14614534.53	20239578	15587445.19	18397669.06	17031419.84	24319469.09
P41247	Patatin-like phospholipase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=PNPLA4 PE=1 SV=3	4.744	2	1064994.688	NA	543218.3125	NA	1322689.063	NA	847175.8125	NA	421944.7813	NA	881617.3125	NA	526887.5	NA	448346.625	NA	274536.8438	NA	398476.3125	NA	NA	NA	436585.8438	NA	NA	NA	347048.5938	NA	NA	NA	991562.5	NA	1489470.625	NA	1137939.438	NA	1188453.625	NA	1256301.063	NA	1084739.406	NA	1232760.5	NA	1031750.656	NA	1162454.031	NA	900419.125	NA	1246242	NA	1080897.594	NA	694881.5625	NA	1217436.75	NA	726175.8125	NA
P41250	Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3	510.583	42	349231848	460728986.7	353813603.4	283092421.4	389868983.4	253689644.7	284772628.3	24857793.23	305874880.3	362859817.3	311782632.7	558198422.2	331953253.6	66966682.75	296289897.6	636957304.8	337020761.4	1215994021	311894561.7	114310904.5	290184228.1	1277672969	357936328.7	705888329.3	210752274.8	257365724.3	191086338.7	268738693.3	243087570.7	289981133.6	347604015.9	6880338.703	398747505.3	7839952.75	320698533.8	7460419.234	376961844.9	14956961.78	336416067.1	11363125.78	337447965.4	10355324.25	275537247.5	23452761.97	290328857.3	19356105.31	268964491.3	17446696.72	283338068.4	35822621	237154107.8	28877397.78	283826178.2	32362289.56	149358496.2	72357104.25	163723560	66009209.13	246947583.1	80308645.88
P41252	Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS1 PE=1 SV=2	636.566	62	250361722.9	10562629.53	234633714.8	5361130.703	279366527.5	11198720.66	256847185.8	18607357.84	232094346.6	14684666	247878079.7	13096843.11	250763814.8	42894742.56	222703392.6	32971837.36	229170898.9	42512917.98	213655435.8	75890894.09	195319910.5	54508856.34	233221746.3	71780819.22	148439547.4	188770986.1	156526038.5	206888634.5	167264903.8	237910634	332630641.7	7739185.875	388467329.9	6931786.438	374825501.7	13553027.94	412927627.3	12676124.5	379379001.2	11843660.41	344243162.1	11358121.36	325233605.8	24373426.98	335076366.2	28811316.17	294772434.4	24852504.28	305952176.1	39906276	334008888.3	41189360.19	358681727.4	56321409.64	208421763.9	103777530.8	199130039.2	96906306.23	230989569	121192013
P41440	Reduced folate transporter OS=Homo sapiens OX=9606 GN=SLC19A1 PE=1 SV=3	5.73	2	3791497.375	188358.0781	3708830.5	NA	4390494.625	NA	1910228.281	411858.7188	1712812.813	476303.2188	1697592.75	312817.875	1364598.344	773578	1378797.438	777966.625	1740510.094	917441.75	1297955.375	1098546.5	1253823.375	1249674.75	1481987.75	1344179.125	487992.375	1214079.25	561222.3125	1783368.625	420643.5938	1511497.625	800025.4375	NA	942948.5625	NA	640060.375	NA	NA	NA	502780.7188	NA	412166.6875	NA	376881.625	377848.5938	415425.875	514744.9063	476202.2813	424250.375	384901.9063	461363.7813	344574.7188	520533.6563	NA	714999.125	NA	786541.9375	NA	569732.8125	NA	668599.875
P41567	Eukaryotic translation initiation factor 1 OS=Homo sapiens OX=9606 GN=EIF1 PE=1 SV=1	227.237	13	71452539.75	1499103.594	80256871.38	333769.5625	85862343.25	503962.0625	60848178.47	12968641.75	58494245.41	10962114.84	62110140.66	15770792.5	60821565.44	33455671.69	48044739.28	28144463.34	38402220.19	26989770.38	42384304.47	45484810.5	28748180.53	42864954.44	43242396.38	43256339.34	14032552.31	60704476	13759627.72	70336186.19	11948895.94	75251869.25	69724117.06	4579705.031	68924483.88	2085547.5	68317214.13	2464810.125	50893701.63	11700649.5	57544452.69	12300518	42997681.63	9900523.625	29586730.25	17912575.19	35988719.34	17818174.41	31079114.75	13866679.59	28546038.88	21321054.38	29688767.56	19616372.34	23778962.06	23800612.06	6948676.375	28824011.81	6066997.375	24888042.5	8827924.5	32000502
P41743	Protein kinase C iota type OS=Homo sapiens OX=9606 GN=PRKCI PE=1 SV=2	128.033	10	20186681.41	903631.9688	16559800.66	353055.8438	17995871.97	1467379.063	14975387.94	652704.2813	15617341.63	1403574.547	16577637.56	NA	16753139.84	3717169.563	16794360.25	747557.8125	17766204.5	2817026.172	15421419.09	3291449.938	13430931.52	4123934	17409392.72	2791235.594	6427689.5	10921872.25	5683692.313	15356322.22	5943180.125	10471368.22	46752110.42	NA	42493009.81	192448.125	19190601.28	NA	18964520.19	NA	16608264.66	932840.9844	15378263.69	NA	13590598.72	1677472.406	15149424.41	2901143.75	15727148.59	1124541.063	11542704.75	3432456.797	11472512.03	3087713.281	12427529.95	2417207.156	2426118.063	7116203	3476271.594	8078949.203	5830851.156	9237340.438
P42166	Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2	466.03	27	144040849.9	9515941.578	161369574.5	4408690.844	184815551.6	12773092.25	141922154.8	14340773.3	146678342.6	9569958.656	127879953.6	7209388.516	155655138.5	25832825.91	109499833.5	19455422.81	118474043.6	22796766.22	115242951.7	37824823.41	93722888.16	32970138.09	111217097.3	39645392.47	57531694.25	84793888.81	66738296.13	74400103.25	81420878.19	99446766.13	133554762.4	8720385.25	169787847.6	4581690.781	151327237.5	7013445.016	156813085.7	11265835.47	143706145.8	8438022.828	132695667.8	6570385.688	125255937.7	16085355.56	132560456.3	19242892.63	135177290.7	17458423.03	114684477	25987547.84	114468778.5	29767327.83	136643168.1	29479227.75	54979054.84	41837565.06	58438008.55	50717755.94	60774609.09	52770196.44
P42167	Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2	350.103	13	75465141.41	7227472.844	75208663.56	4107510.313	86142573.38	4906144.031	76011194.81	5418316.516	67908156.66	7182291.156	65585090.4	4431803.844	69554204.66	15379809.75	64247215.13	9445521.375	67651120.98	9575828.133	55981624.94	18017298.88	56428680.97	20351505.94	60427941.03	18952266.77	36770780.09	44226597	37943299.88	50063286.47	40482321.81	51438966.69	62425441.8	5270178.406	80842362.61	1270380	66348679.23	3213441.805	73319924.32	6334106.656	66444619.7	7158408.672	63077332.27	3759909.789	63773736.27	14700159.33	64674558.06	11300109.61	65556609.8	6036579.734	54467669.55	10035770.97	52226791.66	8365996.047	54661328.41	11150869.73	35230257.59	19185973.94	33011554.84	14722875.25	37225985.63	28800596.91
P42226	Signal transducer and activator of transcription 6 OS=Homo sapiens OX=9606 GN=STAT6 PE=1 SV=1	18.803	7	6610691.969	NA	6703489.188	NA	7523264.5	NA	4475629.938	NA	7171439.563	NA	3537022.563	NA	4964373.563	NA	3662179.375	946952.9688	2847160.344	625344.375	1985894.563	1529338.688	2368859.5	1559578.969	4009277.219	1450239.875	4093921.688	2833915	2539073.219	2800361.313	2253025.75	2684319.75	5996245.25	NA	5706853.563	NA	4481330.438	NA	5079366.375	NA	6412891.938	NA	5430610.625	NA	4555544.938	NA	4735002.813	NA	4562791.531	NA	5067309.813	NA	3889087.75	NA	5237013.75	NA	3884806.938	NA	3603009.75	NA	253563.0469	NA
P42229	Signal transducer and activator of transcription 5A OS=Homo sapiens OX=9606 GN=STAT5A PE=1 SV=1	92.757	2	3718372.063	NA	2565807.906	750170.0469	3672959.438	NA	3415251.219	285756.2813	3340297.25	NA	1931331.313	290592	2862720.313	1991884.688	2799543.125	1627184.75	2158300.719	978592.375	2456760.969	2151530.063	1945959.375	1781699	1446391.5	2226643.875	844938.4063	3093803.125	1078737.75	3081496.5	1032122.406	3625283.125	3138875.875	287489.25	3411991	344738.3125	3059303.75	NA	3456086.25	611445.25	2924410.188	NA	3850973.375	729905	2321357.125	NA	3197918.875	NA	3076782	NA	2331026.313	NA	2096185.938	NA	2551956.375	1083049.094	1122233.688	667501.2188	1458667.5	439592.375	531399.125	NA
P42285	Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3	339.003	43	117078594.3	61549967.48	124871627.3	57225598.13	156350882.5	53302899.59	117299965.6	75483482.13	132659363.7	65092050.53	102721212.4	66303182.44	117943183.9	87356005.38	113874480.2	82395040.05	136531401.5	80191054.75	90341845.66	74217595.72	76237514.72	63473583.97	102062441	92040164.03	52110058.84	134127724.4	54881668.81	136113524	53378319	148672835.1	143404019	8115699.281	180170472.8	8332077.141	156570435.1	8772380.031	170687882.7	4423030.688	141648700.1	8849670.719	143538646.7	7752471.125	132057893.8	13916683.22	139885125.8	13460170.92	126907713.4	11899368.06	113315069.5	23101822.19	112993807.3	23202962.25	121722378.4	22335947.03	68622700.17	42132199.63	77553634.56	42433926.72	80584734.73	42056196.22
P42330	Aldo-keto reductase family 1 member C3 OS=Homo sapiens OX=9606 GN=AKR1C3 PE=1 SV=4	232.142	15	99446373.84	17555070	105126475.1	18235492.25	119966516.5	20649009.44	91471715.25	24396301.97	86449179.81	21730323.59	94391055.41	22703050.94	129652766.5	36500995.5	99280230.56	28454821.53	81218928.44	30899037.69	93999105	48496266.22	66781700.25	30268293.75	82994122.53	45434218.09	56201575.63	70998988.31	54922214.94	70308087.5	63159531.75	91853075.63	120503221.1	17578497.19	136497821.6	25907159.38	126899759.7	18470094.22	145330296	27568574.25	129339173.1	19578977.31	133541300.5	22024036.81	104204254.7	18881427.25	121439745.6	22343850.31	105163980.5	24756740.75	97737948.25	27222597.28	97475543.34	26038306.94	109372928.7	31310030.19	48347072.69	35443957.38	52471678.63	35758765.84	68109744.31	48039035.06
P42336	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform OS=Homo sapiens OX=9606 GN=PIK3CA PE=1 SV=2	1.652	1	NA	NA	NA	NA	NA	NA	938822.875	NA	1026774.5	NA	957810.375	NA	NA	NA	NA	NA	NA	NA	907769.9375	NA	NA	NA	557106.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P42345	Serine/threonine-protein kinase mTOR OS=Homo sapiens OX=9606 GN=MTOR PE=1 SV=1	108.875	25	37612930.67	1334175.719	36919401.88	1226371.125	48549216.69	940161.75	32777561.31	977053.6641	33557245.53	1247587.469	29954559.91	692795.9688	31146190.91	6084274.25	31800125.22	4626066.688	26517624.19	5139066.109	32594117.3	7866970.547	28816244.39	7073592.094	34216479.75	8478266.266	16998674.31	23645471.97	14400369.11	21292680.28	21731431.56	26929579.13	19065083.78	NA	20799516.84	299650.5625	21283539.44	NA	22033503.66	4370805.563	19005476.31	652339.875	14606165.78	853402.6875	16354116.97	1392169.563	15172165.75	607263.5	14659044.69	3846219.844	15701120.91	935373.75	16840469.09	1282993.938	14824202.69	5350896.938	5519551.094	6154806.563	4781567.281	6927102.125	6344636.406	2419750.906
P42356	Phosphatidylinositol 4-kinase alpha OS=Homo sapiens OX=9606 GN=PI4KA PE=1 SV=4	4.603	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	225588.8438	NA	NA	NA	447503.4688	NA	496078.9063	NA	472660.3438	653614.6875	NA	NA	NA	106206999.5	NA	645625.25	NA	610079.0625	NA	1181682.688	NA	NA	NA	1049282.5	NA	991751.5938	NA	2128191.594	NA	1788401	NA	1484130.625	NA	2525189.75	NA	2130103.5	NA	3961705.75	NA
P42566	Epidermal growth factor receptor substrate 15 OS=Homo sapiens OX=9606 GN=EPS15 PE=1 SV=2	42.902	5	6775189.188	NA	7400611.563	NA	9134480.313	NA	8206124.75	NA	6504244.938	NA	5498294.938	NA	8257724.625	NA	6282093.375	NA	7104052.813	NA	6198392.438	621353.3125	5503070.063	537592.6875	5359893.688	535691.125	1625716.859	1374546	2553724.031	1325880.625	3566722.375	1810735.5	6684538.813	NA	7458195.438	NA	7402256.938	NA	6787843.875	814730.3125	8475135.813	1020265.25	6980567.375	716374.4375	7547964.844	1630642.25	6738573.313	1255015.125	6637369.938	1432444.25	4996929.25	2550920.688	3117497.25	1893340.5	7543944.563	3782129	1409202.75	7501655.938	1840110.063	6806734.813	1742635.875	7188210.25
P42574	Caspase-3 OS=Homo sapiens OX=9606 GN=CASP3 PE=1 SV=2	9.084	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	496376.8125	NA	528181.25	NA	628339.9375	NA	1100140.5	NA	1314600	NA	1163280.75	4179350	NA	3224865.25	NA	4229654	317654.4688	4316030	NA	3340696.5	NA	4058870.25	NA	3601080	806312.3125	3238535.75	NA	2899001.5	666126.5625	2694900	1035289.813	2850512	1037517.625	2864714.25	1210349.125	1532982.125	1253228.875	1755771.25	982097.625	1878513.125	1478082.125
P42575	Caspase-2 OS=Homo sapiens OX=9606 GN=CASP2 PE=1 SV=2	16.782	4	1761124.563	NA	1875716.25	5646126	2242550.375	NA	1697676.938	4209180.5	1855164.875	445715.5938	1635416.125	6627633.063	1521757.375	NA	1345658.063	5017942.25	752877	494416.0625	609621.625	2982514.125	573481.5	455808.375	1738808.75	676764.8125	838071.75	4808325.125	735561.9375	5739194.125	538516.3125	1167890.5	1993654.906	NA	1993599.75	NA	1631620.125	NA	913313.25	NA	868489.7344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1033211.875	NA	NA	NA	NA	NA	NA	NA
P42677	40S ribosomal protein S27 OS=Homo sapiens OX=9606 GN=RPS27 PE=1 SV=3	101.125	3	108446896.5	1985671	108588994	2985547.5	161278577.4	2768009.188	127975564.3	10892762.27	122574483.8	9601379.688	122044417.5	11100325.95	148022780.2	25863267	132543328.7	22074673.03	145116914.9	26352219.22	110140132.1	33773884.22	112201918.1	31021781.28	134523642.1	41815911.31	76981190.44	72323154.13	79454756	75370574.44	81668680.88	71712961.38	93913988.25	NA	122156158.7	NA	111319308.3	NA	136361095.4	1900170	118184649.3	1148495.875	112352201.1	1537947.125	101779981.5	4306503.875	116802661.4	5742197.531	103603447.7	6163316.094	99006510	8945329.969	103439619.4	9601371.281	102031788.4	8581843.531	60133409.16	12079932.63	74761443.31	16789444.22	72345790.88	15110300.94
P42695	Condensin-2 complex subunit D3 OS=Homo sapiens OX=9606 GN=NCAPD3 PE=1 SV=2	14.918	4	824106	NA	966869.875	NA	2285811.75	NA	1193056.125	NA	2929279.875	343373.9063	968575.125	NA	1068807.125	NA	718553.375	443521.3125	1106172.125	405206.125	900834.5625	687644.5	680132.8125	NA	921548.0625	NA	NA	1083789.25	NA	715402.1875	NA	1282597.375	5844517.531	NA	5049916.563	NA	4366024.375	NA	3915141.063	NA	6026739.625	NA	4374138.781	NA	5101070	NA	4420785.406	NA	4032719.063	NA	3982466.25	NA	4320394.406	NA	3781339.406	NA	1667326.5	NA	3452267.531	NA	1885661.125	NA
P42696	RNA-binding protein 34 OS=Homo sapiens OX=9606 GN=RBM34 PE=1 SV=2	48.011	10	3355482.938	NA	6159355.125	NA	10955158.94	NA	4618996.938	NA	8622174.156	NA	5927186.875	427509.3438	5894917.625	612789.125	5803770.688	543125.75	8463370.219	980018.375	4064877	503823.2813	3462285.344	385100.7188	5221486.75	1199980.625	1829922.313	8127950.563	2489970.563	6949825.688	3517017.063	7274876	4265295.938	503163.3125	5322686.375	3504035.75	9065002.313	2535713.438	7259972.25	366290.4063	6485546.969	NA	4478122.344	NA	6678319.469	483068.7813	2634363.688	741041.7813	6605302.344	2147069	6053829.688	NA	6616039.125	454370.8438	4550124.625	NA	2180996.516	1378095.188	2223474.781	1752615.938	758009.6875	2554444
