Accession	Description	Sum PEP Score	# Unique Peptides	S1L_1	S1H_1	S1L_2	S1H_2	S1L_3	S1H_3	S3L_1	S3H_1	S3L_2	S3H_2	S3L_3	S3H_3	S6L_1	S6H_1	S6L_2	S6H_2	S6L_3	S6H_3	S9L_1	S9H_1	S9L_2	S9H_2	S9L_3	S9H_3	S24L_1	S24H_1	S24L_2	S24H_2	S24L_3	S24H_3
P24752	Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1	553.081	35	351287879	3872647.281	425074529	4877798.906	395230988.5	4730088.172	417297645.1	15322417.16	421507419.8	14073335.25	398580023.6	12428718.3	359549809.3	23926103.34	352980796.9	26474945.5	348642038.6	26038513.46	292723875.4	41192326.78	314777270.9	38893303.2	341804267.5	41585236.27	208386217	89255964.34	195638368.3	87866754.47	229396481.6	101204706.6
Q14008	Cytoskeleton-associated protein 5 OS=Homo sapiens OX=9606 GN=CKAP5 PE=1 SV=3	552.311	65	105464149.1	3320755.406	145554034.3	5012461.672	123238128.3	3677038.266	141170729.6	8121846.531	106285068.8	9999297.547	91875496.5	8771151.75	95497275.36	15087771.38	102807088.2	12094476.98	78675049.67	11506720.53	78187041.03	25166511.94	96584973.91	31753008.94	111936916.4	40632989.06	31368182.05	59748113.06	33583454.66	52773005.98	26467105.75	55985938.39
P34897	Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3	549.537	40	515781381.7	23524789.44	642349595.9	25838237.38	542701847.7	20557171.41	572580939.3	44972806.56	534415552.7	34758591.22	498740990.3	34589355.13	500677372.1	55974023.48	485901407.8	54653001.09	439421421.3	50078241.67	433651313.6	83707194.28	447023455.5	72782968.97	467274526.7	82701039.66	252145309.1	120244944.5	266360038.2	127873196.3	303313876.1	148462472.3
P08133	Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3	549.27	49	246348369.8	3754501.5	288605889.2	9232402.563	266392437.2	13916103.56	281633490.2	15371319.59	267786297.9	10750059	270222876.2	8958559.688	237953132.1	27333866.17	243618234.1	25698427.84	212174148.6	28625651.63	227837152.3	54106524.55	226498282.5	39963169.06	232335072.7	61641270.06	135260517.4	103873506.5	150083567.3	108758137.6	164998253.5	133572542.8
P17980	26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3	549.171	36	356188104.9	42685089.7	434731282.1	52641734.91	370924097.4	35094817.64	399915015.3	56655417.19	359782678.4	68657246.44	368400525.3	65523953.95	300481634.9	90601483.91	320836764.8	92432343.86	322151403	80940006.44	256052894.9	96466232.56	253803229.9	108883331.6	293089712.3	113821005.3	136534570.8	120222773	123533196.9	121703070.5	155177225.9	165139375.9
P55265	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4	549.147	65	290643371.6	15790944.5	364555069.5	11266807.97	355074601.5	13533332.47	323571028.4	24388039.92	288102380.3	27674607.38	262697034.4	19077420.5	265837354.5	40774348.38	253825534.5	33076198.03	232894386.4	42098176	209135907.3	66211819.41	207224467.8	62724508.25	220738342.9	68108631.5	109542063.6	91680479.41	118609419.2	93831165.81	139522349.1	111437101.1
O95347	Structural maintenance of chromosomes protein 2 OS=Homo sapiens OX=9606 GN=SMC2 PE=1 SV=2	547.081	73	127841263	17858277.69	172573399.4	29133993.42	135060524.1	19199226.13	179293615.8	21214996.22	144521656.9	13085361.91	148943032.5	18850367.06	135451461	14810332.52	146353032.1	14250548.58	141618914.4	18102770.02	135605022	339344360.7	143325261.9	26232859.78	161979266.3	30628109.14	75466247.42	56211959.92	83870455.19	59095238.36	90550681.09	59042807.17
Q92900	Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2	546.209	51	173352926.5	8860448	191712193	6477094.031	185243279.4	4873890.469	173591915.8	9105629.516	179331826	10911512.64	171810347.5	6628012.594	144980853.5	17885293.06	161083145.9	20737731.28	135801175.4	18986267.47	131187425.8	25604456.5	127699045	27814247.16	136270352.8	34740183.44	63041538.59	52753539.63	49837321.69	53754100.31	71453732.63	62004310.59
P31947	14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1	543.898	23	614463833.5	12075929.81	799269951.1	17866233.97	628248913.4	16469339.91	618367132	49658222.47	591013442.5	48330809.19	596595256.4	37712777.19	536274098.1	78540276.88	544178377.6	82821775.44	485007765.1	73510185.16	477489972.2	99417601.69	476033625.8	100575401.2	517438310.8	111541504.3	318739924.1	217307964.9	339496008.4	223758360.2	386009847	247732595.8
P04843	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=RPN1 PE=1 SV=1	540.783	46	645996860.1	11042822.22	620984118	7956431.219	607224603.5	8751317.516	634270693.2	33825045.06	531267254.2	34937181.47	511738223.9	27715277.72	443903527.8	56157529.84	481097922.1	62699991.03	443877118.8	61061017.73	520659987.4	108233504.1	481373078	106936017.7	418298930.6	98089252.28	273578828	207243291.4	251472602.8	179761060.5	298339986.4	203646721.6
Q99459	Cell division cycle 5-like protein OS=Homo sapiens OX=9606 GN=CDC5L PE=1 SV=2	538.671	54	217341722.8	5900935.844	285836016.8	8588483.25	220280881	4141307.531	240782045.2	16959688.06	218737758.1	15008560.97	198644559.9	15066789.48	184708316.5	25820486.98	191199269	23939196.69	186336016.4	26801425.34	146419058.8	37185294.67	155943330.6	32962536.61	159415747.6	37221218.91	79733264.03	58291884.41	83247353.45	64286816.36	102471085	63469708.91
P62258	14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1	538.199	26	591213944.7	30344766.95	754216978.9	32523345.13	607227997.7	29505737.58	661817021.5	40490196.77	576275569	47954128.63	590945680.9	43082732.05	512544530.8	66215200.68	567607971.4	67075363.43	526516853.6	87129674.16	504695480.8	103824212.6	504605049.6	91719859.99	524188929.9	116543782.8	291885211.2	199953965.1	317148538.9	192274339.3	346718120.8	232028895.8
P27824	Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2	534.949	41	846603413.9	19840287.95	862593347.5	20041407.94	814671936.9	18021509.18	851614455.2	35740634.03	824132811.2	41845561.44	759968037.1	32190764.75	698645026.9	55679661.59	703808217.3	82973296.8	668504700.5	93843968.27	671410631.1	101881383.6	616757171.8	119546227.2	638695687.1	104291595.3	360398089.7	215586239.8	355211518.2	209704820.7	387795456	218288710
P27708	CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3	532.083	67	200901097.2	22239132.69	248377088.4	16854761.78	218950560.7	14652460.63	280886414.4	16108603.97	266641830.7	18595569.64	224056111.1	14282294.5	201307785.6	17336151.16	195546597.4	17888245.72	215203509.9	17176737.97	194135584.3	22657404.63	180157976	26241999.28	202546954.3	30955513.97	95628886.94	41129785.41	99440860.75	45018150.41	124336057.3	50471853.94
P35998	26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3	529.239	41	380654401.9	14779885.66	471135894.9	15291428.56	389409342.6	20733588.47	419868636.5	24039029.15	394644667.5	23572232.5	380504512	19402277.27	353592472.2	39411522.73	348559153.1	36075577.34	326742306	43316123.27	318392891.6	60509338.97	322834075.5	57977312.46	347735872.6	69900082.33	196724416.5	105939854.5	194718958.9	99564888.25	249438840.1	111881829.4
Q9Y678	Coatomer subunit gamma-1 OS=Homo sapiens OX=9606 GN=COPG1 PE=1 SV=1	528.954	41	172503679.4	6530629	201996284.3	8889516.844	177389608.4	7752148.047	198302333.8	17539946.53	187893031.3	13822030.59	195212822.8	12855071.17	166593355.5	18764036.03	236763546.1	22429407.31	163926549.1	22693794.64	166701209.7	32070389.02	152533803.6	29305379.22	181362335.9	35763907.53	93131660.25	71402329.97	95153571	68117322.88	115696561.7	76914173.59
P16615	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1	528.224	47	289936402.7	45129978.34	312363016.8	57682905.45	296129598.6	46006768.88	349997883.7	60485029.19	278767148.1	56489737.84	231854399.3	53840708.36	213108540.7	70691917.58	225338492.1	69221561.13	208909071.8	65957374.58	251585357.8	105131636.8	226818592.5	83530314.91	191267190.2	74552821	123963703.1	115877437.6	96821021.19	107174181.7	95238554.56	113817576
P20810	Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=4	526.08	40	179520431.9	2058519.516	235716528.7	3379820.125	204660582.7	2897135.855	190647339.4	4697105.029	184127448.3	7236210.68	182605255.2	6126485.094	164355319	11195687.03	153993948	14085688.07	150475984.8	13128027.59	143463783.3	21687930.06	154493125.8	19925511.6	146809434.7	22548033.05	92460715.85	44473417.27	83633061.89	41482901.97	104300084.2	59717373.48
Q14974	Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2	525.079	33	474357396.6	12372765.81	619743362.3	12228588.58	523754110.2	10478350.69	645427840.1	71946750.77	570000246.2	26117778.84	550182130.8	23585402.25	499062026.8	47437187.13	540538461.3	50156615	458469000.3	52208936.5	467884487.5	77476392.06	468555492.1	64863168.37	497483129.5	126444687.4	263249214.4	115379221.2	268849502.6	129232066	334062919.7	146149889.6
Q92499	ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2	524.426	49	197776179.7	19356905.18	251213969.8	16868916.81	239835196.3	19469663.47	258694495.5	26074284.92	240934879.2	13560122.75	211222014.5	19133340.67	200198499.9	23085796.98	217120226.3	25778685.94	194082994.2	23647661.77	204093145.1	29523984.52	192335116.5	34806059.09	214091652.9	33805995.56	123614525.3	53028157.07	133956554.3	57887626.1	150787494.3	70719427.59
Q15459	Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1	520.657	44	285819404.3	14034233.52	356411143	14014669.52	313333581.2	6271782.844	338210962.7	21817305.31	314136377.8	12603407.44	292640379.8	12563178.94	277960516.6	26503044.65	281043587.1	35698273.69	260785955.5	25469286.06	250611995.9	32070357.83	239590046.7	33190003.02	242149163.4	37110620.69	168744596.6	60091897	175444207.7	64437422.23	177593689.9	62832705.96
Q9UMS4	Pre-mRNA-processing factor 19 OS=Homo sapiens OX=9606 GN=PRPF19 PE=1 SV=1	520.233	30	515086996.3	8743576.438	657780815.7	452074.9375	548219452.8	11074344.91	512459937.1	15640554.06	511699890	25348111.72	461390971.6	18554992.47	410310800.8	47064324.06	422000983	40557529.88	421687569	38206469.88	395417456.3	66141021.75	382285694.8	63009921.81	402442080.3	62133067.89	222065946.9	106284065.9	236474732.1	102187269.7	250671206.3	117528342.9
Q16181	Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2	517.832	40	147348548.9	5485405.313	156986571	8344991.688	159111091.3	4647657.25	198338101.1	10693164.22	200316791.1	8762207.969	175267156.1	10533028.58	153520833.7	21152638.53	159834384	26930311.38	146625634.2	19295660.28	117278568.9	33438566.94	122894612.9	30600307.16	124436404.4	31639376.06	67122800.41	66290703.06	67841543.19	70959720.06	64170081.94	73025688.75
P31689	DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2	517.358	28	471122296.6	22208918.2	524140941.3	15854819.83	447204872.7	34010232.09	476715664.4	71003821.72	431888959	43561012.95	407637848.2	55649586.78	345449270.3	88613923.78	342094547.3	103872478.9	283851319.5	80101044.94	258998111.1	93619626.44	256339684.1	85136488.63	289977677.4	123209153.4	97367821.31	163880301.2	92822284.47	161291201.6	116061803.9	143656405.8
P55884	Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3	516.922	44	426330345.4	20235150.14	532666372.6	11366170.07	459998520	14238483.17	477587876.3	36026980.5	452041501.7	30120023.04	417726976.5	27331319.03	366715687	48340971.6	359902322.1	55044281.51	337065307.8	48881867.85	318515809.3	70611704.41	348189653.2	71849827.73	373272435.6	76347451.8	181150110.8	106646394.5	179242450	109311571.4	217345026.9	138645268.5
O00267	Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1	516.661	49	150921276.3	2951353.375	187476348.3	12786572.13	205003538.5	6716201.375	161203057.5	9530301.578	151817316.8	10331572.53	157479142.7	8480807.297	129116506.5	13827537.16	155107609.3	13239439.91	131921150.8	19051493.16	118596791.6	22488447.88	112700786.5	25294438.69	120257167.8	28201471.77	55083803.47	59426295.19	100547480.6	61459513.28	92421438.81	71715911.31
Q9BXP5	Serrate RNA effector molecule homolog OS=Homo sapiens OX=9606 GN=SRRT PE=1 SV=1	516.485	60	255755497.2	5918359.477	330497677.6	11971108.95	286110801.5	129811412.9	306030026.4	36024413.45	277539213.3	17949863.95	268401418.4	18085632.32	261459438	20366103.9	272612320.6	126425871.8	245302406.6	26808827.19	226845503.5	25326260.34	236051857.7	28808177.48	231692099.8	26204738.55	145287240.5	104497866.8	160092373.9	53089261.33	159002440.9	55684063.02
P61247	40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2	514.83	35	930913667.4	19627854.31	1183389450	18897624.72	1080870475	17796609.38	1303221701	45506307.97	1158559115	38993316.63	1099220773	37311282.77	1036483775	78753130.2	1093782466	81274475.41	1050592675	76050872.09	1024345806	127196893.2	1084913419	119785427.7	1143179321	131819137.5	620015497.3	184531820.3	683215056.9	201290806.3	738082881.3	214684190.5
P26640	Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=4	514.444	58	264163350.5	7834864.938	300766761.2	9060670.172	247973541	7987818.547	320780957.3	10346764.05	291390545.6	12235783.59	271491858.6	13916055.53	265065180.4	19249384.42	256278876.5	16747053.31	247623030.6	21780737.66	228864814.3	37796576.66	234553694.2	38927512.75	293010822.6	38797434.81	153182974.9	66984296.53	150800465.2	57630327.72	174237973.7	67294779.63
P41250	Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3	510.583	42	347604015.9	6880338.703	398747505.3	7839952.75	320698533.8	7460419.234	376961844.9	14956961.78	336416067.1	11363125.78	337447965.4	10355324.25	275537247.5	23452761.97	290328857.3	19356105.31	268964491.3	17446696.72	283338068.4	35822621	237154107.8	28877397.78	283826178.2	32362289.56	149358496.2	72357104.25	163723560	66009209.13	246947583.1	80308645.88
P62937	Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2	507.539	16	5110497718	57551532.3	5980299228	58328307.53	5294983743	73214016.66	5982465085	320936695.6	5948996767	329755639.5	5412238214	290213085.7	5181112216	643907734.3	5267008281	626873446.6	4905431623	625907766.4	4517717041	862877484.1	4479040832	821577146.7	5219864613	974084209	2972849612	1636060124	2912921990	1584750755	3394024768	1763105825
P23284	Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2	506.433	26	831535272	19188329.94	1051678483	34172813.34	949436572.6	25915853.91	996601678.8	73769717.47	945254387.4	73215421.59	926850823.6	62019253.97	886130284.1	144256259	832298046.9	130851423.1	816382923	134435996	778674358.1	198041616.3	792835464.6	193385375.3	835430936	195880859.5	471232266.5	400538166.1	441487286.6	403800693.2	530522331.8	466127572.6
P12956	X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2	505.505	43	365385726.4	8334565.469	453397484.2	14416377.28	387173055.1	12292962.81	443058465.8	15986745.53	430130895.6	14532369.97	371742718.3	12719004.67	385540417.9	30068646.78	387257482.1	30425076.13	367098512.3	36801687.66	349675411.4	46517816.72	342332502.5	48188251.16	350816872.9	48159263.98	233933010.4	96791569.8	237878784.1	89272112.59	266344121.2	99889014.47
O00571	ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3	504.521	43	345570677.1	26443003.17	397833562.5	32378480.5	385710191.8	40068552	461884163.6	56369195.95	376658952.9	52451334	334798771.3	42141048.64	322787088.9	78862516.31	348208152.3	84031552.94	297965242.8	79154000.13	289601756	117699446.5	308806188.3	119036844.9	352274499.6	131662810.8	126613180.5	170438548.4	137094943.8	178554120.6	148233876	188659744
P49454	Centromere protein F OS=Homo sapiens OX=9606 GN=CENPF PE=1 SV=3	504.422	82	131913795.6	30725255.06	169925592.1	21370138.47	143796414.9	17202873.72	137375258.3	27964891.33	123396909.6	38626296.94	113136656.8	33158582.89	100584819.5	32211646.03	90262930.33	39755878.45	76711874.23	33087028.58	78258785.78	43227883.98	75275564.94	41842230.13	73270535.55	42034065.02	57757636.53	60322787.06	50756000	56198712.09	51880036.03	58668271.83
Q9UHD8	Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2	502.843	48	237389287.1	10151718.19	295290519.8	12225074.44	254424567.9	14074816.24	296858452.1	17863197.16	253421076.5	21290228.19	247046209.1	25220235.25	240093580.1	26655767.41	262594966.4	27652159	231863398.9	25161556.67	229450704.2	38467716.47	221345039	37270260.81	233393071.8	35932674.83	140050767.1	68898344.84	151502089.5	62553677.5	168064369.4	79124931.31
O75534	Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2	502.366	46	270382119	15309036.64	316574281.1	16915306.47	272763708.7	14039897.02	255401403	41372902.45	243685179.8	32291453.09	216172758.3	32085360.77	171942772.1	55554648.22	188901352.5	59793853.84	152916014.7	54206806.44	131010202.3	83968256.69	124580132.7	85125564.75	129330635.4	87205917.66	33893145.16	105544572.6	32925207.89	103053224.7	34900283.44	128372057.1
P00441	Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2	500.825	18	724107816.4	5605628.906	793475491.5	4566867.625	796103683.5	5545793.016	884024428.2	33509600.49	881067213.6	32335027.98	819702937.7	27719122.88	748987779.4	65039162.67	762605548.3	65308570.93	691959893.7	64230978.22	698303824.5	95868785.13	658172540.1	87639744.43	756365532.2	96732587.05	459566481.7	232175973.8	399023000.1	200736732.1	535789417.6	274509129.5
P55786	Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2	499.571	54	259694668.6	7248229.813	313744144.1	13371867.92	278397509.3	8441791.453	300816682.7	13023416.5	296037863.1	16916731.67	286772628.5	13007732	249715918	32496209.59	253374363.3	22299313.67	262548168.5	26933341.84	252207177.6	42034558.22	228671040.2	43289881.81	273992252.3	36975683.23	146867380.3	87092519.91	147324808.8	81941680.84	172849920.8	101882961.9
Q01518	Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1 PE=1 SV=5	498.453	33	231767470.4	22625654.13	265911882.4	37048290.73	260739168.5	25183804.51	240079406.9	41360131.73	252979022.7	39000155.75	228858770.6	37633541.44	211429387	57280318.25	224702593.5	63317079.23	227742302.7	58704768.52	213312793	82542558.09	206150898.5	76902355.72	241838957.6	85875923.5	121491478.8	149134118.2	139643536.6	161727320.4	136951874.7	173182331.4
O15027	Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=4	498.073	59	128225383	3314824.25	153153898.8	8232490.672	140339124.7	7869929.688	149948399.5	10168841.66	130212712.6	8398960.344	127410432.3	9136696.391	104624646.6	13492408.28	109990754.8	14145793.47	103756853.5	12873370.59	88392953.03	19185354.03	89837218.45	18292156.97	91664389.92	16783279.63	35095818.39	24181083.5	37698329.72	34954572.13	34502937.19	38007543.81
Q9C0C2	182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4	496.622	54	97516021.55	3107300.625	119247290.9	6784264	108843985.5	4710048.938	125013842	10982986.31	117003746.4	9468263.563	101924221.6	7442958.891	96135617.98	16674554.45	92174840.92	17755065.59	93463188.3	18061265.17	76740670.03	26058779.77	71231887.67	21664294	80229636.2	24475696.52	31849054.25	37699049.11	32210764.63	38064820.34	35404820.25	41863990.85
Q99615	DnaJ homolog subfamily C member 7 OS=Homo sapiens OX=9606 GN=DNAJC7 PE=1 SV=2	494.84	42	190936682.7	9592800.328	221032745.6	14098079.65	198861481.8	11428662.52	190277513.7	24267294.13	189239754	17809069.34	162926289.9	16121383.53	141865350.8	28445277.55	154338915.5	38424923.17	145754584.3	35058477.16	128976657.2	46253421.66	127601584	43402141.75	133190477	55101725.12	70093191.88	77329485.94	64633622.13	80342250.59	71898850.61	88878435.81
P13489	Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2	492.134	37	329035733.3	10539436.66	385054826.8	14988805.72	298843752.6	12420469.77	329644975.2	28138133.17	373466354.5	24594489.27	311385333.1	23683761.34	330543129.7	41523208.53	343118488.8	43640631.16	252133330.4	41368165.75	250852865.8	64331353.5	234920975.3	61800701.5	335765124.1	66123380.69	154378668.6	125657996.1	130469387.4	126944085.7	176205225.6	142717337.2
P05198	Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3	491.248	36	321095010	18612144.56	364276721.3	11047276.56	314008503.1	22567504.22	377974545.4	45924778.88	294713911.2	42249416.53	292265882.4	28217560.5	275386345.2	30706903.33	299985654.7	66590471.97	243860650.4	64669634.8	269200989.1	79947353.72	285733999.9	48042523	320781501.4	90098838.11	180334597.9	110333349.5	150917907.9	88953716.36	190730069.8	99335365.55
P49321	Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2	489.391	30	438569979.1	8899082.477	462294641.1	12565432.81	376562247.8	13396196.81	439236463.4	28599932.25	443300743.3	26426715.16	402017461.3	28306887.97	356603855.7	56365180.42	365289649.7	54622610.52	349612355.9	55132508.59	309498395	90678770.32	307667437.1	79507731.73	329566713.7	81630269.45	147611378.4	129882796.7	172120327.4	143215311.1	177200597.3	146746819.2
Q9NY65	Tubulin alpha-8 chain OS=Homo sapiens OX=9606 GN=TUBA8 PE=1 SV=1	488.228	1	4070266.75		2334720		1693387.875		2125198.5	6944253.75	2363690.25	1597257.625	2081912.5	4859542.375	1237650.625	12293978.88	2659469.5	12757075.13	6742268.5	13903369.56	2331712.5	21168630.88	1448654.5	16421917	4582577.875	16160551.38	1525790	31365568	1059599.375	34311359	1621479.875	38184858
Q9HB71	Calcyclin-binding protein OS=Homo sapiens OX=9606 GN=CACYBP PE=1 SV=2	487.586	28	407929170.9	4987413.125	493787944.7	8962687.875	409665656.4	4432182.563	441714885	18423964.75	413713412.6	18386433.16	432963777.6	21686847.48	356882054.7	34848898.66	356770588.8	35960767.38	352969376.1	35375939.03	317306479.6	55012074.47	305951515.1	49696282.48	368602292.5	58154214.72	177507682.3	104783407.9	175553625	97740694.63	220025066.8	118891535
P00367	Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD1 PE=1 SV=2	484.544	15	134828272.6	14334673.69	154902289	28361232.09	138605803.4	19356120.38	153058295.8	29805890.19	152674880.4	31917984.5	139019258.4	22314499.5	130379465.8	48357097.5	121474002.3	43508375.19	118577597.5	37387212.19	96101990.91	46458740.94	104742359.3	42533500.16	114104696.8	48074940.19	82994471.22	76383375.25	79266871.22	70914403.63	80626319.06	73599576.59
Q9Y520	Protein PRRC2C OS=Homo sapiens OX=9606 GN=PRRC2C PE=1 SV=4	483.276	67	94302444.78	7054623.781	131808960.1	3609686.844	112745141	5700816.75	116601213.2	18676942.05	105902243.6	4626019.953	107297866.7	10574115	87726325.82	7680443.781	91327899.4	14838031.4	81734044.26	14314434.67	62887097.28	16907212.75	67241318.2	11961684.39	67393007.26	14547170.31	17921221.68	17629834.23	21200828.84	23439494.32	23732055.94	20430538.27
Q99460	26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2	480.998	46	165033674.8	2993240.969	207800822.4	1525242.453	175953219.5	3551826.359	215372281.7	4169533.531	190905555.7	3956348.313	198662179.9	7610635.469	183740686.5	10510793.53	186890944.7	11386829.66	174346845.7	11487041.25	165140628.9	14427493.06	164986891.3	11237057.03	185178829.7	15729775.92	98320551.38	37522782.61	94795948.31	34121204.03	117179234.4	42401010.84
P14923	Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3	480.899	30	143079959.5	8115220.656	189074868.4	7878041.266	145235575.5	3642480.734	122410635.6	30696332.31	124740947.8	27581954.61	122930920.2	18134287.91	99981475.16	51519048.25	91339165.25	51846179.59	86128593.22	49669923.94	75635984	64079356.88	77448563.38	70496797.42	83922926.5	78386245.59	33696528.63	121263481.2	31473687.47	133899842.4	37434329.45	130746089
P55060	Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3	480.654	47	399066325	3594240.188	482549581.3	6839200.813	428424194	4815186.938	480735669.9	28097132.34	397782165.8	27484969.16	398334131.1	25820645.22	367064486.4	53783981.5	390454348.8	59734111.38	354918814.3	59856267.44	374591048.3	91459449	393640369.7	89334916.8	429215098	94799386.16	238875246.4	162406312	234144703.4	161651076.6	300512708.3	199755459.6
Q14789	Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2	479.014	82	70003776.55	17564796.48	86934958.59	8049587.844	73038456.23	7757587.883	86092529.75	10772909.5	74898114.53	5613236.031	65737844.2	6662268.547	64383022.25	8971107.258	63817052.16	7611807.5	60184193.98	6816776.953	58312744.61	9153988.172	51781712.58	9089569.75	54688115.72	11145409.63	34777368.36	18445663.28	36490830.9	21455981.81	40271147.23	20531185.9
P36578	60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5	478.534	36	610215773.6	7962704.656	732723372.8	4926994.438	613997665.8	6216650.137	867720453.3	53333191.17	704453079.4	33571097.73	713525773.1	37665317.42	660068413.8	72063752.7	739850292.8	88199010.52	658085272.7	79460655.33	788060753.4	125334728.6	784092870.9	132157855.4	807186339.7	135223199.5	446617093.8	177719979.6	541247405.6	224149587.8	606662266.4	226127465.3
P26358	DNA (cytosine-5)-methyltransferase 1 OS=Homo sapiens OX=9606 GN=DNMT1 PE=1 SV=2	478.181	69	123742011.4	7451375.234	159426883.7	4358389.266	132773128.2	6111069.625	127606384.6	13491151.53	124064933.9	11290517.44	119867169.8	10408930.25	101004529.1	23967659.11	92065382.16	21789689.64	94941439.06	22293447.19	63754608.02	35059307.22	66442428.48	36833000.55	86384373.38	32142078.05	35486691	44399176.31	18433193.55	43701031.63	33749605.88	54480198.34
P07954	Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3	476.797	33	458946034.5	6161848.641	612236484.5	11251972.28	535242463.6	8612096.656	658173972.8	35784599.13	624378248.6	19194658.78	558520110.1	29628767.64	529025874.7	52655179.47	542056591.5	48533528.63	508930668.8	45141626.94	484018009.9	64683379.63	503797890.4	72958288.31	524053469.4	87202747.69	346867702.6	135055239.9	346918773.3	166641636	391872843.4	151197946.8
P31946	14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3	475.89	13	311516456.7	3890828.438	393688810.2	6943438.813	340680145	8067872.75	411880465.8	23962572.13	386499209.3	25840075.22	388991722.9	22083709.05	331512391.5	52852972.78	327340046	48148132.25	314396059.2	47396134.63	274181867.3	70914189.38	266546368.6	66082125.39	294109370.3	69300333.22	171707455.8	144182135.3	190175525.9	151300072.4	199105138.2	162285805
